"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"1",13035,0,"10",70,0,2015,"A",NA,413,5975,200301449,48676922,817724,645,33524,NA,1,1,1,1,1,1,1,NA,9,2.2,81,1.4,5343905,2.7,2841829,6.2,-91569,-10.1,9,1.4,446,1.3
"2",13035,1,"10",71,0,2015,"A",NA,6,47,2513816,0,0,1029,53485,NA,2.28,0.4,0.43,0,0,1.08,1.08,NA,0,0,3,6.8,277248,12.4,0,0,0,0,59,6.1,3036,6
"3",13035,1,"102",72,0,2015,"A",NA,6,47,2513816,0,0,1029,53485,NA,2.28,0.41,0.44,0,0,1.08,1.08,NA,0,0,3,6.8,277248,12.4,0,0,0,0,59,6.1,3036,6
"4",13035,1,"1021",73,0,2015,"A",NA,3,36,1830326,0,0,973,50608,NA,2.29,1.26,1.63,0,0,1.29,1.29,NA,0,0,1,2.9,161055,9.6,0,0,0,0,56,6.1,2915,6.1
"5",13035,1,"1028",73,0,2015,"A",NA,3,11,683490,0,0,1213,63091,NA,2.77,0.17,0.19,0,0,1.15,1.15,NA,0,0,2,22.2,116193,20.5,0,0,0,0,44,3.8,2309,3.8
"6",13035,1,"48-49",74,0,2015,"A",NA,3,36,1830326,0,0,973,50608,NA,2.35,1.38,1.75,0,0,1.26,1.26,NA,0,0,1,2.9,161055,9.6,0,0,0,0,56,6.1,2915,6.1
"7",13035,1,"491",75,0,2015,"A",NA,3,36,1830326,0,0,973,50608,NA,2.37,1.41,1.82,0,0,1.29,1.29,NA,0,0,1,2.9,161055,9.6,0,0,0,0,56,6.1,2915,6.1
"8",13035,1,"4911",76,0,2015,"A",NA,3,36,1830326,0,0,973,50608,NA,2.37,1.41,1.82,0,0,1.29,1.29,NA,0,0,1,2.9,161055,9.6,0,0,0,0,56,6.1,2915,6.1
"9",13035,1,"49111",77,0,2015,"A",NA,3,36,1830326,0,0,973,50608,NA,2.37,1.41,1.82,0,0,1.29,1.29,NA,0,0,1,2.9,161055,9.6,0,0,0,0,56,6.1,2915,6.1
"10",13035,1,"491110",78,0,2015,"A",NA,3,36,1830326,0,0,973,50608,NA,2.37,1.41,1.82,0,0,1.29,1.29,NA,0,0,1,2.9,161055,9.6,0,0,0,0,56,6.1,2915,6.1
"11",13035,1,"92",74,0,2015,"A",NA,3,11,683490,0,0,1213,63091,NA,2.77,0.17,0.19,0,0,1.15,1.15,NA,0,0,2,22.2,116193,20.5,0,0,0,0,44,3.8,2309,3.8
"12",13035,1,"921",75,0,2015,"A",NA,1,1,89235,0,0,1716,89235,NA,11.43,0.15,0.27,0,0,1.74,1.74,NA,0,0,0,0,1991,2.3,0,0,0,0,38,2.3,1991,2.3
"13",13035,1,"9211",76,0,2015,"A",NA,1,1,89235,0,0,1716,89235,NA,11.43,0.15,0.27,0,0,1.74,1.74,NA,0,0,0,0,1991,2.3,0,0,0,0,38,2.3,1991,2.3
"14",13035,1,"92119",77,0,2015,"A",NA,1,1,89235,0,0,1716,89235,NA,15.93,0.64,1.1,0,0,1.72,1.72,NA,0,0,0,0,1991,2.3,0,0,0,0,38,2.3,1991,2.3
