"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"1",13093,0,"10",70,0,2015,"A",NA,213,3360,105645641,29375310,732139,605,31440,NA,1,1,1,1,1,1,1,NA,-3,-1.4,471,16.3,20113078,23.5,7354640,33.4,276455,60.7,36,6.3,1835,6.2
"2",13093,1,"10",71,0,2015,"A",NA,10,53,2754099,0,0,999,51964,NA,7.35,0.8,0.9,0,0,1.12,1.12,NA,-1,-9.1,1,1.9,194085,7.6,0,0,0,0,51,5.4,2654,5.4
"3",13093,1,"102",72,0,2015,"A",NA,10,53,2754099,0,0,999,51964,NA,7.37,0.81,0.91,0,0,1.12,1.12,NA,-1,-9.1,1,1.9,194085,7.6,0,0,0,0,51,5.4,2654,5.4
"4",13093,1,"1021",73,0,2015,"A",NA,5,23,949565,0,0,780,40551,NA,7.39,1.43,1.6,0,0,1.1,1.1,NA,0,0,0,0,80963,9.3,0,0,0,0,40,5.4,2089,5.4
"5",13093,1,"1028",73,0,2015,"A",NA,5,30,1804534,0,0,1173,60998,NA,8.96,0.83,0.97,0,0,1.18,1.19,NA,-1,-16.7,1,3.4,113122,6.7,0,0,0,0,64,5.8,3336,5.8
"6",13093,1,"48-49",74,0,2015,"A",NA,5,23,949565,0,0,780,40551,NA,7.6,1.57,1.72,0,0,1.08,1.08,NA,0,0,0,0,80963,9.3,0,0,0,0,40,5.4,2089,5.4
"7",13093,1,"491",75,0,2015,"A",NA,5,23,949565,0,0,780,40551,NA,7.66,1.6,1.79,0,0,1.1,1.1,NA,0,0,0,0,80963,9.3,0,0,0,0,40,5.4,2089,5.4
"8",13093,1,"4911",76,0,2015,"A",NA,5,23,949565,0,0,780,40551,NA,7.66,1.6,1.79,0,0,1.1,1.1,NA,0,0,0,0,80963,9.3,0,0,0,0,40,5.4,2089,5.4
"9",13093,1,"49111",77,0,2015,"A",NA,5,23,949565,0,0,780,40551,NA,7.66,1.6,1.79,0,0,1.1,1.1,NA,0,0,0,0,80963,9.3,0,0,0,0,40,5.4,2089,5.4
"10",13093,1,"491110",78,0,2015,"A",NA,5,23,949565,0,0,780,40551,NA,7.66,1.6,1.79,0,0,1.1,1.1,NA,0,0,0,0,80963,9.3,0,0,0,0,40,5.4,2089,5.4
