"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"1",13139,0,"10",70,0,2015,"A",NA,4544,79700,3493373814,716489076,12797168,843,43832,NA,1,1,1,1,1,1,1,NA,126,2.9,3772,5,299698534,9.4,42288066,6.3,-1535103,-10.7,34,4.2,1770,4.2
"2",13139,1,"10",71,0,2015,"A",NA,24,461,30677638,0,0,1280,66570,NA,0.83,0.29,0.3,0,0,1.03,1.03,NA,0,0,8,1.8,1346104,4.6,0,0,0,0,36,2.9,1868,2.9
"3",13139,1,"102",72,0,2015,"A",NA,24,461,30677638,0,0,1280,66570,NA,0.83,0.3,0.31,0,0,1.03,1.03,NA,0,0,8,1.8,1346104,4.6,0,0,0,0,36,2.9,1868,2.9
"4",13139,1,"1021",73,0,2015,"A",NA,8,215,11832902,0,0,1061,55165,NA,0.55,0.56,0.6,0,0,1.08,1.08,NA,0,0,6,2.9,975289,9,0,0,0,0,60,6,3132,6
"5",13139,1,"1023",73,0,2015,"A",NA,1,0,0,0,0,0,0,NA,2.61,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",13139,1,"1028",73,0,2015,"A",NA,15,246,18844736,0,0,1471,76501,NA,1.26,0.29,0.31,0,0,1.07,1.07,NA,0,0,1,0.4,370815,2,0,0,0,0,19,1.3,995,1.3
"7",13139,1,"48-49",74,0,2015,"A",NA,8,215,11832902,0,0,1061,55165,NA,0.57,0.62,0.65,0,0,1.05,1.05,NA,0,0,6,2.9,975289,9,0,0,0,0,60,6,3132,6
"8",13139,1,"491",75,0,2015,"A",NA,8,215,11832902,0,0,1061,55165,NA,0.57,0.63,0.68,0,0,1.07,1.07,NA,0,0,6,2.9,975289,9,0,0,0,0,60,6,3132,6
"9",13139,1,"4911",76,0,2015,"A",NA,8,215,11832902,0,0,1061,55165,NA,0.57,0.63,0.68,0,0,1.07,1.07,NA,0,0,6,2.9,975289,9,0,0,0,0,60,6,3132,6
"10",13139,1,"49111",77,0,2015,"A",NA,8,215,11832902,0,0,1061,55165,NA,0.57,0.63,0.68,0,0,1.07,1.07,NA,0,0,6,2.9,975289,9,0,0,0,0,60,6,3132,6
"11",13139,1,"491110",78,0,2015,"A",NA,8,215,11832902,0,0,1061,55165,NA,0.57,0.63,0.68,0,0,1.07,1.07,NA,0,0,6,2.9,975289,9,0,0,0,0,60,6,3132,6
"12",13139,1,"52",74,0,2015,"A",NA,1,0,0,0,0,0,0,NA,2.62,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13139,1,"522",75,0,2015,"A",NA,1,0,0,0,0,0,0,NA,3.18,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",13139,1,"5222",76,0,2015,"A",NA,1,0,0,0,0,0,0,NA,3.19,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",13139,1,"52229",77,0,2015,"A",NA,1,0,0,0,0,0,0,NA,3.19,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",13139,1,"522298",78,0,2015,"A",NA,1,0,0,0,0,0,0,NA,7.01,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",13139,1,"92",74,0,2015,"A",NA,15,246,18844736,0,0,1471,76501,NA,1.26,0.29,0.31,0,0,1.07,1.07,NA,0,0,1,0.4,370815,2,0,0,0,0,19,1.3,995,1.3
"18",13139,1,"921",75,0,2015,"A",NA,2,16,1358243,0,0,1624,84450,NA,2.08,0.18,0.23,0,0,1.26,1.26,NA,0,0,0,0,102170,8.1,0,0,0,0,90,5.9,4699,5.9
"19",13139,1,"9211",76,0,2015,"A",NA,2,16,1358243,0,0,1624,84450,NA,2.08,0.18,0.23,0,0,1.26,1.26,NA,0,0,0,0,102170,8.1,0,0,0,0,90,5.9,4699,5.9
"20",13139,1,"92113",77,0,2015,"A",NA,1,16,1358243,0,0,1624,84450,NA,3.74,0.29,0.36,0,0,1.24,1.24,NA,0,0,0,0,102170,8.1,0,0,0,0,90,5.9,4699,5.9
"21",13139,1,"921130",78,0,2015,"A",NA,1,16,1358243,0,0,1624,84450,NA,3.74,0.29,0.36,0,0,1.24,1.24,NA,0,0,0,0,102170,8.1,0,0,0,0,90,5.9,4699,5.9
"22",13139,1,"92119",77,0,2015,"A",NA,1,0,0,0,0,0,0,NA,1.45,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",13139,1,"921190",78,0,2015,"A",NA,1,0,0,0,0,0,0,NA,1.45,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",13139,1,"922",75,0,2015,"A",NA,3,29,2887082,0,0,1948,101301,NA,1.75,0.2,0.25,0,0,1.23,1.23,NA,0,0,-1,-3.3,-27034,-0.9,0,0,0,0,70,3.7,3621,3.7
"25",13139,1,"9221",76,0,2015,"A",NA,3,29,2887082,0,0,1948,101301,NA,1.75,0.2,0.25,0,0,1.23,1.23,NA,0,0,-1,-3.3,-27034,-0.9,0,0,0,0,70,3.7,3621,3.7
"26",13139,1,"92211",77,0,2015,"A",NA,1,21,2022750,0,0,1860,96705,NA,3.43,1.1,1.36,0,0,1.24,1.24,NA,0,0,-2,-8.7,-105665,-5,0,0,0,0,87,4.9,4499,4.9
"27",13139,1,"922110",78,0,2015,"A",NA,1,21,2022750,0,0,1860,96705,NA,3.43,1.1,1.36,0,0,1.24,1.24,NA,0,0,-2,-8.7,-105665,-5,0,0,0,0,87,4.9,4499,4.9
"28",13139,1,"92212",77,0,2015,"A",NA,2,8,864332,0,0,2192,113978,NA,2.27,0.1,0.13,0,0,1.29,1.29,NA,0,0,1,14.3,78631,10,0,0,0,0,-46,-2.1,-2422,-2.1
"29",13139,1,"922120",78,0,2015,"A",NA,2,8,864332,0,0,2192,113978,NA,2.27,0.1,0.13,0,0,1.29,1.29,NA,0,0,1,14.3,78631,10,0,0,0,0,-46,-2.1,-2422,-2.1
"30",13139,1,"923",75,0,2015,"A",NA,1,42,2842987,0,0,1294,67290,NA,0.79,0.41,0.38,0,0,0.93,0.93,NA,0,0,1,2.4,-76488,-2.6,0,0,0,0,-92,-6.6,-4796,-6.7
"31",13139,1,"9231",76,0,2015,"A",NA,1,42,2842987,0,0,1294,67290,NA,0.79,0.41,0.38,0,0,0.93,0.93,NA,0,0,1,2.4,-76488,-2.6,0,0,0,0,-92,-6.6,-4796,-6.7
"32",13139,1,"92313",77,0,2015,"A",NA,1,42,2842987,0,0,1294,67290,NA,1.35,1,1.02,0,0,1.02,1.02,NA,0,0,1,2.4,-76488,-2.6,0,0,0,0,-92,-6.6,-4796,-6.7
"33",13139,1,"923130",78,0,2015,"A",NA,1,42,2842987,0,0,1294,67290,NA,1.35,1,1.02,0,0,1.02,1.02,NA,0,0,1,2.4,-76488,-2.6,0,0,0,0,-92,-6.6,-4796,-6.7
"34",13139,1,"924",75,0,2015,"A",NA,3,58,4537313,0,0,1507,78342,NA,1.11,1.02,1.22,0,0,1.19,1.19,NA,0,0,-1,-1.7,24474,0.5,0,0,0,0,44,3,2283,3
"35",13139,1,"9241",76,0,2015,"A",NA,3,58,4537313,0,0,1507,78342,NA,1.11,1.02,1.22,0,0,1.19,1.19,NA,0,0,-1,-1.7,24474,0.5,0,0,0,0,44,3,2283,3
