"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"1",13149,0,"10",70,0,2015,"A",NA,159,2095,95346707,21555729,375944,875,45504,NA,1,1,1,1,1,1,1,NA,6,3.9,-147,-6.6,393834,0.4,226258,1.1,-384013,-50.5,61,7.5,3160,7.5
"2",13149,1,"10",71,0,2015,"A",NA,3,13,679008,0,0,985,51246,NA,2.96,0.31,0.24,0,0,0.77,0.77,NA,0,0,-1,-7.1,21328,3.2,0,0,0,0,65,7.1,3415,7.1
"3",13149,1,"102",72,0,2015,"A",NA,3,13,679008,0,0,985,51246,NA,2.96,0.32,0.25,0,0,0.77,0.77,NA,0,0,-1,-7.1,21328,3.2,0,0,0,0,65,7.1,3415,7.1
"4",13149,1,"1021",73,0,2015,"A",NA,1,12,660899,0,0,1038,53951,NA,1.98,1.19,1.24,0,0,1.02,1.02,NA,0,0,-1,-7.7,19367,3,0,0,0,0,70,7.2,3635,7.2
"5",13149,1,"1028",73,0,2015,"A",NA,2,1,18109,0,0,348,18109,NA,4.8,0.04,0.01,0,0,0.24,0.24,NA,0,0,0,0,1961,12.1,0,0,0,0,37,11.9,1961,12.1
"6",13149,1,"48-49",74,0,2015,"A",NA,1,12,660899,0,0,1038,53951,NA,2.04,1.31,1.33,0,0,0.99,0.99,NA,0,0,-1,-7.7,19367,3,0,0,0,0,70,7.2,3635,7.2
"7",13149,1,"491",75,0,2015,"A",NA,1,12,660899,0,0,1038,53951,NA,2.05,1.34,1.38,0,0,1.01,1.01,NA,0,0,-1,-7.7,19367,3,0,0,0,0,70,7.2,3635,7.2
"8",13149,1,"4911",76,0,2015,"A",NA,1,12,660899,0,0,1038,53951,NA,2.05,1.34,1.38,0,0,1.01,1.01,NA,0,0,-1,-7.7,19367,3,0,0,0,0,70,7.2,3635,7.2
"9",13149,1,"49111",77,0,2015,"A",NA,1,12,660899,0,0,1038,53951,NA,2.05,1.34,1.38,0,0,1.01,1.01,NA,0,0,-1,-7.7,19367,3,0,0,0,0,70,7.2,3635,7.2
"10",13149,1,"491110",78,0,2015,"A",NA,1,12,660899,0,0,1038,53951,NA,2.05,1.34,1.38,0,0,1.01,1.01,NA,0,0,-1,-7.7,19367,3,0,0,0,0,70,7.2,3635,7.2
"11",13149,1,"92",74,0,2015,"A",NA,2,1,18109,0,0,348,18109,NA,4.8,0.04,0.01,0,0,0.24,0.24,NA,0,0,0,0,1961,12.1,0,0,0,0,37,11.9,1961,12.1
"12",13149,1,"926",75,0,2015,"A",NA,2,1,18109,0,0,348,18109,NA,14.31,0.28,0.07,0,0,0.24,0.24,NA,0,0,0,0,1961,12.1,0,0,0,0,37,11.9,1961,12.1
"13",13149,1,"9261",76,0,2015,"A",NA,2,1,18109,0,0,348,18109,NA,14.31,0.28,0.07,0,0,0.24,0.24,NA,0,0,0,0,1961,12.1,0,0,0,0,37,11.9,1961,12.1
"14",13149,1,"92611",77,0,2015,"A",NA,2,1,18109,0,0,348,18109,NA,50.18,1.58,0.38,0,0,0.24,0.24,NA,0,0,0,0,1961,12.1,0,0,0,0,37,11.9,1961,12.1
"15",13149,1,"926110",78,0,2015,"A",NA,2,1,18109,0,0,348,18109,NA,50.18,1.58,0.38,0,0,0.24,0.24,NA,0,0,0,0,1961,12.1,0,0,0,0,37,11.9,1961,12.1
"16",13149,2,"10",71,0,2015,"A",NA,4,70,2844515,0,0,778,40443,NA,3.47,1.02,0.86,0,0,0.84,0.84,NA,0,0,0,0,-93603,-3.2,0,0,0,0,-33,-4.1,-1731,-4.1
"17",13149,2,"102",72,0,2015,"A",NA,4,70,2844515,0,0,778,40443,NA,3.57,1.04,0.88,0,0,0.84,0.84,NA,0,0,0,0,-93603,-3.2,0,0,0,0,-33,-4.1,-1731,-4.1
"18",13149,2,"1025",73,0,2015,"A","N",2,0,0,0,0,0,0,"N",8.32,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",13149,2,"1028",73,0,2015,"A","N",2,0,0,0,0,0,0,"N",2.45,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",13149,2,"62",74,0,2015,"A","N",2,0,0,0,0,0,0,"N",17.71,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",13149,2,"621",75,0,2015,"A","N",2,0,0,0,0,0,0,"N",102.73,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",13149,2,"6214",76,0,2015,"A","N",2,0,0,0,0,0,0,"N",138.48,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",13149,2,"62142",77,0,2015,"A","N",2,0,0,0,0,0,0,"N",261.54,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",13149,2,"621420",78,0,2015,"A","N",2,0,0,0,0,0,0,"N",261.54,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",13149,2,"92",74,0,2015,"A","N",2,0,0,0,0,0,0,"N",2.45,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",13149,2,"924",75,0,2015,"A","N",1,0,0,0,0,0,0,"N",8.69,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
