"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"1",13297,0,"10",70,0,2015,"A",NA,1765,20381,760528415,190527842,3457871,718,37315,NA,1,1,1,1,1,1,1,NA,34,2,930,4.8,63245304,9.1,11917214,6.7,-370672,-9.7,29,4.2,1467,4.1
"2",13297,1,"10",71,0,2015,"A",NA,12,141,7627042,0,0,1042,54189,NA,1.06,0.35,0.34,0,0,0.99,0.99,NA,0,0,1,0.7,681910,9.8,0,0,0,0,86,9,4463,9
"3",13297,1,"102",72,0,2015,"A",NA,12,141,7627042,0,0,1042,54189,NA,1.07,0.36,0.35,0,0,0.99,0.99,NA,0,0,1,0.7,681910,9.8,0,0,0,0,86,9,4463,9
"4",13297,1,"1021",73,0,2015,"A",NA,6,125,6502511,0,0,999,51951,NA,1.07,1.28,1.53,0,0,1.19,1.19,NA,0,0,0,0,523681,8.8,0,0,0,0,82,8.9,4279,9
"5",13297,1,"1023",73,0,2015,"A",NA,1,9,717372,0,0,1592,82774,NA,6.73,4.54,4.73,0,0,1.08,1.08,NA,0,0,2,28.6,146222,25.6,0,0,0,0,111,7.5,5765,7.5
"6",13297,1,"1028",73,0,2015,"A",NA,5,7,407159,0,0,1132,58866,NA,1.08,0.03,0.03,0,0,0.96,0.96,NA,0,0,0,0,12007,3,0,0,0,0,20,1.8,1039,1.8
"7",13297,1,"48-49",74,0,2015,"A",NA,6,125,6502511,0,0,999,51951,NA,1.1,1.4,1.64,0,0,1.16,1.17,NA,0,0,0,0,523681,8.8,0,0,0,0,82,8.9,4279,9
"8",13297,1,"491",75,0,2015,"A",NA,6,125,6502511,0,0,999,51951,NA,1.11,1.43,1.7,0,0,1.19,1.19,NA,0,0,0,0,523681,8.8,0,0,0,0,82,8.9,4279,9
"9",13297,1,"4911",76,0,2015,"A",NA,6,125,6502511,0,0,999,51951,NA,1.11,1.43,1.7,0,0,1.19,1.19,NA,0,0,0,0,523681,8.8,0,0,0,0,82,8.9,4279,9
"10",13297,1,"49111",77,0,2015,"A",NA,6,125,6502511,0,0,999,51951,NA,1.11,1.43,1.7,0,0,1.19,1.19,NA,0,0,0,0,523681,8.8,0,0,0,0,82,8.9,4279,9
"11",13297,1,"491110",78,0,2015,"A",NA,6,125,6502511,0,0,999,51951,NA,1.11,1.43,1.7,0,0,1.19,1.19,NA,0,0,0,0,523681,8.8,0,0,0,0,82,8.9,4279,9
