"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"1",13011,0,"10",70,0,2016,"A",NA,292,4053,125775126,40188068,486651,597,31033,NA,1,1,1,1,1,1,1,NA,8,2.8,314,8.4,8705840,7.4,3306994,9,-56895,-10.5,-5,-0.8,-279,-0.9
"2",13011,1,"10",71,0,2016,"A",NA,4,16,776009,0,0,958,49797,NA,2.2,0.2,0.21,0,0,1.1,1.1,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"3",13011,1,"102",72,0,2016,"A",NA,4,16,776009,0,0,958,49797,NA,2.21,0.2,0.22,0,0,1.1,1.1,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"4",13011,1,"1021",73,0,2016,"A",NA,2,16,776009,0,0,958,49797,NA,2.21,0.82,1.16,0,0,1.45,1.45,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"5",13011,1,"1028",73,0,2016,"A",NA,2,0,0,0,0,0,0,NA,2.71,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",13011,1,"48-49",74,0,2016,"A",NA,2,16,776009,0,0,958,49797,NA,2.27,0.9,1.25,0,0,1.42,1.42,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"7",13011,1,"491",75,0,2016,"A",NA,2,16,776009,0,0,958,49797,NA,2.29,0.92,1.3,0,0,1.46,1.45,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"8",13011,1,"4911",76,0,2016,"A",NA,2,16,776009,0,0,958,49797,NA,2.29,0.92,1.3,0,0,1.46,1.45,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"9",13011,1,"49111",77,0,2016,"A",NA,2,16,776009,0,0,958,49797,NA,2.29,0.92,1.3,0,0,1.46,1.45,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
"10",13011,1,"491110",78,0,2016,"A",NA,2,16,776009,0,0,958,49797,NA,2.29,0.92,1.3,0,0,1.46,1.45,NA,0,0,1,6.7,-23902,-3,0,0,0,0,-91,-8.7,-4742,-8.7
